/dic,,,,,
/@from,/@to,/l/#id,/l/w/c,/l/w/d,/l/w/t
es,en,1,Abanto,"A town in Zaragoza, Aragon, Spain",{prop}
es,en,1,Abanto,Spanish surname,{prop}
es,en,1,abaratamiento,reduction (generally in the price of an item),{m}
es,en,1,abaratar,to make cheaper (by reducing the price),{v}
es,en,1,abarca,sandal,{f}
es,en,1,abarcar,to clasp,{v}
es,en,1,abarcar,"to comprise, to make up, to contain, to include",{v}
es,en,1,abarcar,"to embrace, to encompass",{v}
es,en,1,abarcar,"to monopolize, to corner",{v}
es,en,1,abarcar,to take in,{v}
es,en,1,abarcar,"to undertake, to embark upon",{v}
es,en,1,abarracar,to construct barracks,{v}
es,en,1,abarrar,to throw with force,{v}
es,en,1,abarraz,stavesacre (Delphinium staphisagria),{f}
es,en,1,abarrotar,to bar,{v}
es,en,1,abarrotar,to pack,{v}
es,en,1,abarrotar,to stow cargo on a ship,{v}
es,en,1,abarrotería,hardware store,{f} [Central America]
es,en,1,abarrotería,"general store, local shop","{f} [Mexico, Central America]"
es,en,1,abartarse,to go down in price,{v}
es,en,1,-abas,Suffix indicating the second-person singular imperfect indicative of -ar verbs,{suffix}
es,en,1,abastar,to supply,{v}
es,en,1,abastardar,"To degrade, degenerate",{vi}
es,en,1,abastardar,"To degrade, debase, bastardize",{vt}
es,en,1,abastecedor,outfitter,{m}
es,en,1,abastecer,to supply (with),{v}
es,en,1,abastecimiento,supply,{m}
es,en,1,abastionar,to fortify with bastions,{v}
es,en,1,abasto,grocery,{m}
es,en,1,abasto,supply,{m}
es,en,1,abatanar,"To beat, hit, abase",{v}
es,en,1,abatanar,"To full, mill (clothing)",{v}
es,en,1,abatatar,To embarrass,{v}
es,en,1,abatatar,To frighten,{v}
es,en,1,abatidamente,abjectly,{adv}
es,en,1,abatido,"abject, discouraged",{adj}
es,en,1,abatimiento,dejection,{m}
es,en,1,abatimiento,depressiveness,{m}
es,en,1,abatir,to demolish,{v}
es,en,1,abatir,to discourage,{v}
es,en,1,abatir,to humble,{v}
es,en,1,abatirse,to become depressed,{v}
es,en,1,abaya,abaya,{f}
es,en,1,abciximab,abciximab,{m} [pharmaceutical drug]
es,en,1,Abdías,Obadiah,{prop} [biblical character]
es,en,1,abdicación,"abdication, abandonment of a job or task",{f}
es,en,1,abdicar,"to abdicate, relinquish",{v}
es,en,1,abdicativamente,abdicatingly,{adv}
es,en,1,abdicativo,abdicative,{adj}
es,en,1,abdomen,,"{m} [l/en, abdomen]"
es,en,1,abdominal,,"{adj} [l/en, abdominal]"
es,en,1,abdominal,sit-up,{m}
es,en,1,abdominalmente,abdominally,{adv}
es,en,1,abdominoplastia,abdominoplasty,{f} [surgery]
es,en,1,abducción,abduction (physiology: movement separating limb from axis),{f}
es,en,1,abducir,"to abduce, to abduct (draw away from the median axis of the body)","{v} [physiology, anatomy]"
es,en,1,abductor,abductor,{m} [anatomy]
es,en,1,abductor del meñique,abductor minimi digiti,{m}
es,en,1,abductor largo del pulgar,abductor pollicis longus,{m}
es,en,1,abecé,ABCs (alphabet),{m}
es,en,1,abecé,primer (textbook formerly used to teach the alphabet),{m}
es,en,1,abecedario,alphabet (an ordered set of letters used in a language),{m}
es,en,1,abecedario,"spelling book, primer",{m}
es,en,1,abedul,birch,{m}
es,en,1,abeja,bee (the insect),{f}
es,en,1,abeja albañila,mason bee,{f}
es,en,1,abeja carpintera,carpenter bee,{f}
es,en,1,abeja de miel,honeybee,{f}
es,en,1,abeja machiega,worker bee,{f}
es,en,1,abeja maesa,queen bee,{f}
es,en,1,abeja maestra,queen bee,{f}
es,en,1,abeja neutra,worker bee,{f}
es,en,1,abeja obrera,worker bee,{f}
es,en,1,abeja reina,queen bee,{f}
es,en,1,abejarrón,bumblebee,{m}
es,en,1,abejaruco,bee-eater,{m}
es,en,1,abejorro,bumblebee,{m}
es,en,1,abejorro,cockchafer,{m}
es,en,1,Abel,Abel,{prop} [biblical character]
es,en,1,abeliano,abelian,{adj}
es,en,1,abemoladamente,sweetly,{adv}
es,en,1,abemolar,"to soften, to lower the voice",{v}
es,en,1,abenuz,ebony,{m}
es,en,1,aberración,"aberration, aberrancy",{f}
es,en,1,aberrante,"shocking, aberrant",{adj}
es,en,1,aberrar,"to be wrong, to err",{v}
es,en,1,abertal,"crackled, cracked",{adj}
es,en,1,abertura,opening,{f}
es,en,1,abetal,an area planted with firs,{m}
es,en,1,abetal,"fir forest, wood",{m}
es,en,1,abeto,fir,{m}
es,en,1,abiertamente,"openly, aboveboard",{adv}
es,en,1,abierto,open,{adj}
es,en,1,abigarradamente,In a motley manner,{adv}
es,en,1,abigarrado,pertaining to a mishmash of ill-sorted things,{adj}
es,en,1,abigarrado,"variegated, colorful, pertaining to clashing colors",{adj}
es,en,1,abigarramiento,motley,{m}
es,en,1,abigarrar,"to paint in many colors, make colorful paints",{v}
es,en,1,abigeato,"abigeat, cattle-theft",{m}
es,en,1,Abimelech,(Biblical character),"{prop} [l/en, Abimelech]"
es,en,1,abiogénesis,abiogenesis,{f}
es,en,1,abisal,abyssal (belonging to the ocean depths),{adj}
es,en,1,Abisinia,Abyssinia,{prop}
es,en,1,abisinio,Abyssinian,{adj}
es,en,1,abisinio,Abyssinian,{m}
es,en,1,abismal,abysmal,{adj}
es,en,1,abismalmente,abysmally,{adv}
es,en,1,abismarse,to engulf,{v}
es,en,1,abismarse,to plunge into,{v}
es,en,1,abismo,abyss,{m}
es,en,1,abiótico,abiotic,{adj}
es,en,1,Abiyán,Abidjan (the largest city of Côte d'Ivoire),{prop}
es,en,1,abjasia,feminine form of abjasio,{f}
es,en,1,abjasio,Abkhaz,{adj}
es,en,1,abjasio,Abkhaz person,{m}
es,en,1,abjasio,Abkhaz (language),{prop}
es,en,1,abjurar,to abjure,{v}
es,en,1,ablación,ablation,{f}
es,en,1,ablacionar,to ablate,{v}
es,en,1,ablandar,"to soften, to soothe",{v}
es,en,1,ablandarse,to soften,{v}
es,en,1,ablativo,ablative,{m}
es,en,1,-able,,"{suffix} [l/en, -able]"
es,en,1,ablución,ablution,{f}
es,en,1,abnegación,abnegation,{f}
es,en,1,abnegadamente,unselfishly,{adv}
es,en,1,abnegado,unselfish,{adj}
es,en,1,abnegar,to renounce,{v}
es,en,1,abocar,to seize or grab with the mouth,{v}
es,en,1,abocetado,sketchy,{adj}
es,en,1,abochornado,"blushed, ashamed",{adj}
es,en,1,abochornar,to embarrass; to cause to blush,{v}
es,en,1,abochornar,to overheat,{v}
es,en,1,abochornarse,to shame oneself,{v}
es,en,1,abofetear,to slap,{vt}
es,en,1,abogacía,advocacy,{f}
es,en,1,abogada,female lawyer,{f}
es,en,1,abogado,"lawyer, solicitor, counsel",{m}
es,en,1,abogar,to advocate,{v}
es,en,1,abogar,to defend in court,{v}
es,en,1,abolengo,ancestry,{m}
es,en,1,abolición,abolition,{f}
es,en,1,abolicionista,abolitionist,{mf}
es,en,1,abolir,to abolish,{vt}
es,en,1,abolir,to revoke,{vt}
es,en,1,abollado,"bumpy, battered",{adj}
es,en,1,abollado,dented,{adj}
es,en,1,abolladura,dent,{f}
es,en,1,abollar,to dent,{v}
es,en,1,abollar,to emboss,{v}
es,en,1,abollar,to trample,{v}
es,en,1,abombar,to make round or convex,{v}
es,en,1,abombar,to stun,{v}
es,en,1,abombarse,to decompose,{v}
es,en,1,abominable,,"{adj} [l/en, abominable]"
es,en,1,abominablemente,abominably,{adv}
es,en,1,abominación,abomination,{f}
es,en,1,abominación,"horror, abhorrence",{f}
es,en,1,abominar,to abhor,{v}
es,en,1,abonado,subscription,{m}
es,en,1,abonar,To pay a certain amount of money by each term of a loan or sale,{vi}
es,en,1,abonar,To reconcile with someone without going to court,{vp}
es,en,1,abonar,"To accredit a sum of money to the account of someone, contributing funds or reducing the balance",{vt}
es,en,1,abonar,To give credit or describe positively,{vt}
es,en,1,abonar,To make an annotation in the salary on an account,{vt}
es,en,1,abonar,To make something better,{vt}
es,en,1,abonar,To pay an amount of money,{vt}
es,en,1,abonar,To provide nutrients to crops using fertilizers. (To fertilize.),{vt}
es,en,1,abonarse,to subscribe,{v}
es,en,1,abono,"fertilizer, manure",{m}
es,en,1,abono,"guarantee, security",{m}
es,en,1,abono,"payment, installment",{m}
es,en,1,abono,"subscription, season ticket",{m}
es,en,1,abordador,boarder,{m}
es,en,1,abordaje,boarding,{m}
es,en,1,abordaje,collision,{m}
es,en,1,abordar,"to accost, waylay",{vt}
es,en,1,abordar,to address; to broach,{vt}
es,en,1,abordar,to board,{vt}
es,en,1,a bordo,aboard,{adv}
es,en,1,abordo,boarding,{m}
es,en,1,aborígene,aborigine,{m}
es,en,1,aborigen,"aboriginal, indigenous",{adj}
es,en,1,aborigen,aborigine,{mf}
es,en,1,aborrecer,to abandon,{v}
es,en,1,aborrecer,"to hate, detest",{v}
es,en,1,aborrecible,loathsome,{adj}
es,en,1,aborreciblemente,abhorrently,{adv}
es,en,1,aborrecimiento,"loathing, abhorrence",{m}
es,en,1,abortado,aborted,{adj}
es,en,1,abortar,to abort; to have an abortion,{v}
es,en,1,abortista,abortionist,{f}
es,en,1,abortivo,abortive,{adj}
es,en,1,aborto,abortion,{m}
es,en,1,aborto,a very ugly person,{m} [slang]
es,en,1,abotagado,swollen,{adj}
es,en,1,abotagar,to swell (of the body as a result of a disease),{vp}
es,en,1,abotonar,to button up,{v}
es,en,1,abotonarse,to button up,{v}
es,en,1,abovedado,vaulted,{adj}
es,en,1,abovedar,to arch,{v}
es,en,1,ab ovo,ab ovo,{adv}
es,en,1,aboyar,to set or mark with buoys,{v} [nautical]
es,en,1,abra,glade,{f}
es,en,1,abra,large bay,{f}
es,en,1,abra,notch,{f}
es,en,1,Abraham,(Biblical character),"{prop} [l/en, Abraham]"
es,en,1,Abrahán,"male given name, a variant of Abraham, the Spanish equivalent of Abraham",{prop}
es,en,1,Abram,Abram (Biblical character),{prop}
es,en,1,abrasadamente,ardently,{adv}
es,en,1,abrasador,scorching,{adj}
es,en,1,abrasante,parching,{adj}
es,en,1,abrasante,scorching,{adj}
es,en,1,abrasar,to burn,{v}
es,en,1,abrasar,to parch,{v}
es,en,1,abrasar,to squander or waste money,{v}
es,en,1,abrasión,abrasion,{f}
es,en,1,abrasivo,abrasive; rough,{adj}
es,en,1,abrasivo,abrasive,{m}
es,en,1,abrazar,"to hug, to embrace",{v}
es,en,1,abrazo,hug,{m}
es,en,1,abrazo estrecho,"close hug, cuddle",{m}
es,en,1,abrebotellas,bottle opener,{m}
es,en,1,abrecartas,"letter opener, paper knife",{m}
es,en,1,abrelatas,"can-opener, tin-opener",{m}
es,en,1,abrenunciación,The renouncing of sin at baptism,{f} [Christianity]
es,en,1,abrevadero,drinking trough,{m}
es,en,1,abrevar,to give water to,{v}
es,en,1,abrevar,to irrigate,{v}
es,en,1,abreviación,reduction,{f} [linguistics]
es,en,1,abreviadamente,briefly,{adv}
es,en,1,abreviado,abridged,{adj}
es,en,1,abreviar,to abbreviate,{v}
es,en,1,abreviar,to hasten,{v}
es,en,1,abreviatura,abbreviation,{f}
es,en,1,abreviatura,resumé,{f}
es,en,1,abridor,opener,{m}
es,en,1,abrigadero,shelter,{m}
es,en,1,abrigado,covered or blanketed,{adj}
es,en,1,abrigado,covert,{adj}
es,en,1,abrigar,to cover,{v}
es,en,1,abrigar,to shelter,{v}
es,en,1,abrigar,to wrap up,{v}
es,en,1,abrigo,"blanket, quilt",{m} [agriculture]
es,en,1,abrigo,"aid, protection",{m} [figuratively]
es,en,1,abrigo,"haven, harbor",{m} [nautical]
es,en,1,abrigo,overcoat,{m}
es,en,1,abrigo,shelter,{m}
es,en,1,abril,April,{m}
es,en,1,abril,years of age,{m} [of a young person]
es,en,1,abrillantar,to shine or polish,{v}
es,en,1,abrir,opening,{m}
es,en,1,abrir,to open,{vt}
es,en,1,abrir,to turn on,{vt}
es,en,1,abrir,to unlock,{vt}
es,en,1,abrir fuego,to open fire,{v}
es,en,1,abrirse,"to flourish, prosper",{v}
es,en,1,abrirse camino,To make way,{v}
es,en,1,abrochar,"to button, fasten",{vt}
es,en,1,abrocharse,"to fasten, tie up",{vr}
es,en,1,abrogación,abrogation,{f}
es,en,1,abrogar,to abrogate (annul by an authoritative act),{v}
es,en,1,abrojo,thistle; thorn,{m}
es,en,1,abroncar,to embarrass,{vt}
es,en,1,abroncar,to jeer,{vt}
es,en,1,abroncar,"to rebuke, to chastise, to reprimand",{vt}
es,en,1,abrumador,"exhausting, tiresome",{adj}
es,en,1,abrumador,overwhelming,{adj}
es,en,1,abrumadoramente,overwhelmingly,{adv}
es,en,1,abrumar,"to crush, overcome, exhaust, overwhelm",{v}
es,en,1,abruptamente,abruptly,{adv}
es,en,1,abrupto,abrupt,{adj}
es,en,1,abrupto,heavy,{adj}
es,en,1,abrupto,steep,{adj}
es,en,1,abrupto,violent,{adj}
es,en,1,Absalón,male given name. Spanish equivalent of Absalom,{prop}
es,en,1,absceso,abscess,{m} [pathology]
es,en,1,abscisa,abscissa,{f} [geometry]
es,en,1,abscisión,abscission,{f}
es,en,1,absenta,absinthe,{f}
es,en,1,absintina,absinthin,{f} [organic chemistry]
es,en,1,absintio,absinth (plant and liquor),{m}
es,en,1,absolución,absolution,{f}
es,en,1,absolución,acquittal,{f} [judicial]
es,en,1,absolutamente,absolutely,{adv}
es,en,1,absolutismo,absolutism,{m}
es,en,1,absolutista,absolutist,{adj}
es,en,1,absolutista,absolutist,{mf}
es,en,1,absoluto,absolute,{adj}
es,en,1,absolutorio,"absolving, absolutory",{adj}
es,en,1,absolver,To absolve,{v}
es,en,1,absolver,To acquit,{v}
es,en,1,absorbencia,absorbency,{f}
es,en,1,absorbente,absorbing,{adj}
es,en,1,absorbente,"absorbent, absorber",{m}
es,en,1,absorber,to absorb,{v}
es,en,1,absorber,to use up,{v}
es,en,1,absorción,absorption,{f}
es,en,1,absorción,aspiration,{f}
es,en,1,absorto,rapt,{adj}
es,en,1,abstemia,feminine form of abstemio,{f}
es,en,1,abstemio,teetotal,{m}
es,en,1,abstemio,"teetotaller, a person who completely abstains from alcohol",{m}
es,en,1,abstención,abstention,{f}
es,en,1,abstenerse,to abstain (from),{v}
es,en,1,abstersión,abstersion,{f} [medical]
es,en,1,abstinencia,"abstinence, austereness, abstemiousness",{f}
es,en,1,abstinente,abstinently,{adv}
es,en,1,abstinentemente,abstinently,{adv}
es,en,1,abstracción,"abstractedness, absentmindedness",{f}
es,en,1,abstracción,abstraction,{f}
es,en,1,abstraccionismo,abstractionism,{m} [arts]
es,en,1,abstractivamente,abstractively,{adv}
es,en,1,abstractivo,abstractive,{adj}
es,en,1,abstracto,abstract,{adj}
es,en,1,abstraído,"distracted, absent-minded",{adj}
es,en,1,abstraer,to abstract,{v}
es,en,1,abstraer,"to deduct, subtract",{v}
es,en,1,abstruso,abstruse,{adj}
es,en,1,absurdamente,absurdly,{adv}
es,en,1,absurdidad,absurdity,{f}
es,en,1,absurdo,absurd; ludicrous; ridiculous,{adj}
es,en,1,absurdo,Something that is absurd or ridiculous,{m}
es,en,1,abubilla,hoopoe (the bird Upupa epops),{f}
es,en,1,abuchear,to jeer; boo,{v}
es,en,1,abuela,"grandmother, feminine form of abuelo",{f}
es,en,1,abuela materna,grandmother (maternal grandmother),{m}
es,en,1,abuela paterna,grandmother (paternal grandmother),{m}
es,en,1,abuela política,grandmother-in-law,{f}
es,en,1,abuelita,diminutive form of abuela,{f}
es,en,1,abuelito,diminutive form of abuelo,{n}
es,en,1,abuelo,An old person,"{m} [colloquial, affectionate]"
es,en,1,abuelo,grandfather,{m}
es,en,1,abuelo,Loose tufts of hair in the nape when one's hair is messed up,{m}
es,en,1,abuelo materno,maternal grandfather,{m}
es,en,1,abuelo paterno,grandfather (paternal grandfather),{m}
es,en,1,a buenas horas,"about time, high time",{adv} [idiomatic]
es,en,1,abulense,"Of, pertaining to, or from the Spanish city of Ávila",{adj}
es,en,1,abulense,A resident of the Spanish city of Ávila,{mf}
es,en,1,abulón,abalone (edible univalve mollusc),{m}
es,en,1,abultar,to bulge,{v}
es,en,1,abundadamente,abundantly,{adv}
es,en,1,abundado,abundant,{adj}
es,en,1,abundancia,abundance,{f}
es,en,1,abundante,affluent,{adj}
es,en,1,abundante,"plentiful, abundant",{adj}
es,en,1,abundantemente,abundantly,{adv}
es,en,1,abundar,to abound,{v}
es,en,1,Abundio,male given name. Spanish equivalent of Abundius,{prop}
es,en,1,abundosamente,abundantly,{adv}
es,en,1,abundoso,abundant,{adj}
es,en,1,abur,"bye, so long",{interj}
es,en,1,aburguesar,to become bourgeois,{vr}
es,en,1,aburridamente,boringly,{adv}
es,en,1,aburrido,bored; fed up,{adj}
es,en,1,aburrido,boring,{adj}
es,en,1,aburrimiento,boredom,{m}
es,en,1,aburrir,to bore; to tire,{vt}
es,en,1,aburrirse,to become bored,{vr}
es,en,1,abusador,abuser,{m}
es,en,1,abusar,"to get clever, to get smart, to wise up",{vp} [Guatemala]
es,en,1,abusar,to abuse,{v}
es,en,1,abusivamente,abusively,{adv}
es,en,1,abusivo,abusive,{adj}
es,en,1,abuso,abuse,{m}
es,en,1,abyeccíon,abjectness,{f}
es,en,1,abyeccíon,humiliation,{f}
es,en,1,abzima,abzyme,{f} [immunology]
es,en,1,acá,"hither, towards the speaker; here",{adv}
es,en,1,acabadamente,"wholly, completely",{adv}
es,en,1,acabado,worn-out,{adj}
es,en,1,acabado,"A finish, a final process or coating applied to a surface",{m}
es,en,1,a cabalidad,thoroughly,{adv}
es,en,1,a caballo,horseback; on the back of a horse,{adv}
es,en,1,acabamiento,achievement,{m}
es,en,1,acabar,to finish; to end,{vt}
es,en,1,acabar de,to have just done something,{v} [idiomatic]
es,en,1,acabarse,to run out; to come to an end,{v}
es,en,1,acachetear,"to punch, hit with a closed fist",{v}
es,en,1,acachetear,"to slap, strike with an open hand",{v}
es,en,1,acacia,acacia,{f}
es,en,1,academia,academy,{f}
es,en,1,academista,"academician, academic",{mf}
es,en,1,académicamente,academically,{adv}
es,en,1,académico,academic,{adj}
es,en,1,académico,scholastic,{adj}
es,en,1,académico,"academician, academic",{m}
es,en,1,acaecer,to happen,{v}
es,en,1,acaecimiento,"event, occurrence",{m}
es,en,1,acairelar,to trim with fringe,{v}
es,en,1,acal,canoe,"{m} [dialectal, Mexico]"
es,en,1,acal,manger,"{m} [dialectal,"
es,en,1,acalenturarse,To have a fever,{vr}
es,en,1,acalicino,acalycine,{adj} [botany]
es,en,1,acalifa,copperleaf,{f}
es,en,1,acallar,"to quiet, hush or silence",{v}
es,en,1,acaloradamente,"hotly, vehemently, heatedly",{adv}
es,en,1,acalorado,heated,{adj}
es,en,1,acalorar,to heat up,{v}
es,en,1,acalorarse,to become upset,{v}
es,en,1,a cal y canto,"under lock and key, shut tight, closed behind doors",{adv} [idiomatic]
es,en,1,acampada,camping,{f}
es,en,1,acampanado,"flared, bell shaped",{adj}
es,en,1,acampar,to camp; to go camping,{v}
es,en,1,acanaladura,"groove, crimp, bead, flute",{f}
es,en,1,acanalar,to furrow,{v}
es,en,1,acantáceo,acanthaceous,{adj} [botany]
es,en,1,acantilado,cliff,{m}
es,en,1,acantilar,to run a ship into trouble or onto rocks,{v} [nautical]
es,en,1,acantilar,to dredge,{v}
es,en,1,acanto,acanthus,"{m} [plants, architecture]"
es,en,1,acantocito,acanthocyte,{m}
es,en,1,acantonamiento,cantonment,{m}
es,en,1,acantonar,to accommodate,{v}
es,en,1,acantorar,to station,{v}
es,en,1,acaparar,to hoard,{vt}
es,en,1,a capela,a capella,{adv}
es,en,1,a capella,a capella,{adv}
es,en,1,a cara o cruz,"toss a coin for, heads or tails",{adv} [idiomatic]
es,en,1,acarbosa,acarbose,{f} [biochemistry]
es,en,1,acardenalar,to bruise,{v}
es,en,1,a cargo,in charge,{prep}
es,en,1,acariciar,"to caress, fondle, stroke",{v}
es,en,1,acarpo,acarpous,{adj}
es,en,1,acarrear,to haul,{v}
es,en,1,acartonado,"shrivelled, wizened",{adj}
es,en,1,acartonar,"to weather, to erode",{vt}
es,en,1,acartonarse,to become or to grow stiff (like cardboard),{v}
es,en,1,acartonarse,to become wizened,{v}
es,en,1,acaso,perhaps,{adv}
es,en,1,acatadamente,compliantly,{adv}
es,en,1,acatamiento,observance,{m}
es,en,1,acatar,to comply with,{vt}
es,en,1,acaudalado,wealthy,{adj}
es,en,1,acaudillar,to command,{v}
es,en,1,acaudillar,"to specify, adduce, indicate",{v}
es,en,1,acaule,"acaulous, short-stemmed",{adj} [botany]
es,en,1,acíbar,"bitterness, sorrow",{m}
es,en,1,acíbar,aloe (the plant and its juice),{m} [plants]
es,en,1,accedente,acceding,{adj}
es,en,1,acceder,"To accede, to agree, to concur",{v}
es,en,1,acceder,to access,{v}
es,en,1,accesar,To access something (e.g. the Internet),{vt}
es,en,1,accesibilidad,accessibility,{f}
es,en,1,accesible,"approachable, accessible",{adj}
es,en,1,accesión,accession,{f}
es,en,1,acceso,access,{m}
es,en,1,acceso,intercourse,{m}
es,en,1,acceso,passage,{m}
es,en,1,accesoriamente,"accessorily, incidentally",{adv}
es,en,1,accesorio,"accessory, secondary, additional, supplementary",{adj}
es,en,1,accesorio,incidental,{adj}
es,en,1,accesorio,irrelevant,{adj}
es,en,1,accesorio,"accessory equipment, appurtenance",{m}
es,en,1,accidentado,accident-filled; accident-littered,{adj}
es,en,1,accidentado,jerky,{adj}
es,en,1,accidental,accidental,{adj}
es,en,1,accidental,accidental,{m} [music]
es,en,1,accidentalmente,accidentally,{adv}
es,en,1,accidentariamente,accidentally,{adv} [obsolete]
es,en,1,accidente,accident,{m}
es,en,1,accidente,feature,{m} [geography]
es,en,1,accidente de tráfico,"traffic accident, road accident",{m}
es,en,1,acción,action,{f}
es,en,1,acción,share (financial instrument),{f}
es,en,1,acción programada,scheduled action,{f}
es,en,1,accionar,to put into motion; to start,{v}
es,en,1,accionista,shareholder,{mf}
es,en,1,acícula,"needle (long, pointed leaf found on some conifers)",{f} [botany]
es,en,1,aceña,"bulrush, cattail (Typha latifolia)",{f} [plants]
es,en,1,aceña,water mill; flour mill,{f}
es,en,1,aceña,water wheel,{f}
es,en,1,acebibe,raisin,{m}
es,en,1,acebo,holly,{m}
es,en,1,acebuchal,Of or pertaining to the olive,{adj}
es,en,1,acebuchal,olive grove,{m}
es,en,1,acebuche,wild olive tree,{m}
es,en,1,acechador,stalker,{m}
es,en,1,acechar,"to lie in wait for, waylay",{vt}
es,en,1,acechar,to spy,{vt}
es,en,1,aceche,vitriol,{m}
es,en,1,acecho,an ambush,{m}
es,en,1,acecho,the act of stalking or spying,{m}
es,en,1,acedía,heartburn,{f}
es,en,1,acedo,"[of a person] disagreeable, unpleasant, bleak",{adj}
es,en,1,acedo,"soured, bittered",{adj}
es,en,1,acedo,"sour, tart, acid",{adj}
es,en,1,acedo,A sour juice or other liquid,{m} [rare]
es,en,1,aceitar,to oil,{v}
es,en,1,aceite,oil,{m}
es,en,1,aceite de oliva,olive oil,{m}
es,en,1,aceitera,oilcan,{f}
