/dic,,,,,
/@from,/@to,/l/#id,/l/w/c,/l/w/d,/l/w/t
en,es,1,Abel,Abel {m},{prop} /?e?.b?l/ (biblical character)
en,es,1,Abel,Abel {m},{prop} (male given name)
en,es,1,Abelam,,{prop} /??b?.l?m/ (Ambulas)
en,es,1,Abelard,Abelardo,{prop} /?æb.?.?l??d/ (male given name)
en,es,1,abelian,"abeliano, conmutativo",{adj} /??bi.li.?n/ (math: of a group)
en,es,1,Abelian,abelonita {m} {f},{n} (member of a sect living like Abel)
en,es,1,Abelian algebra,,{n} (commutative algebra)
en,es,1,abelian group,grupo abeliano {m},{n} /??bi.li.?n ??up/ (a group in which the group operation is commutative)
en,es,1,abelmosk,abelmosco {m},{n} /?e?.b?l?m?sk/ (evergreen shrub)
en,es,1,Abelonian,,{n} (Abelian)
en,es,1,aberrance,aberración {f},"{n} /?æ.b??.n?s/ (state of being aberrant; a wandering from the right way; deviation from truth, rectitude)"
en,es,1,aberrant,aberrante,{adj} (deviating from morality)
en,es,1,aberrant,"anómalo, atípico",{adj} (deviating from the ordinary or natural type; exceptional; abnormal)
en,es,1,aberrant,"aberrante, anormal",{adj} /?b???.n?t/ (wandering; straying from the right way)
en,es,1,aberration,aberración {f},{n}
en,es,1,aberration,aberración {f},{n} /?æb.??re?.?n?/ (deviation)
en,es,1,aberration,aberración {f},{n} (astronomy: small periodical change of position of heavenly bodies)
en,es,1,aberration,aberración {f},{n} (optics: convergence to different foci)
en,es,1,aberration,"aberración {f}, perturbación mental {f}",{n} (physiology: deviation from the normal state)
en,es,1,aberration,aberración {f},"{n} (zoology, botany: atypical development or structure)"
en,es,1,abessive case,caso abesivo {m},{n} (case used to express the lack of something)
en,es,1,abet,incitar,{v} /??b?t/ (to assist or encourage in crime)
en,es,1,abet,ayudar,"{v} (to support, uphold, or aid)"
en,es,1,abettor,cómplice {m} {f},{n} /??b?t.?/ (accomplice)
en,es,1,abeyance,"expectativa {f}, esperanza {f}, suspenso {m}",{n} /??be?.?nts/ (expectancy; condition of being undetermined)
en,es,1,abeyance,"suspensión {f}, desuso {m}, suspenso {m}",{n} (suspension; temporary suppression)
en,es,1,abhor,"aborrecer, detestar, abominar",{v} /æb?h?r/ (to regard with horror or detestation)
en,es,1,abhorrence,aborrecimiento {m},{n}
en,es,1,abhorrence,"aborrecimiento {m}, odio {m}",{n} /?b?h??.n?s/ (extreme aversion)
en,es,1,abhorrent,repugnante,{adj} /æb?h??.?nt/
en,es,1,abide,"habitar, demorar",{v} /??ba?d/ (to dwell)
en,es,1,abide,"quedar, permanecer",{v} (to endure)
en,es,1,abide,"tolerar, soportar",{v} (to tolerate)
en,es,1,abide by,someterse,{v} (to accept a decision or law and act in accordance with it; to conform to; to acquiesce)
en,es,1,abide by,"someterse a, adherirse a, observar",{v} (to remain faithful to something or someone; to stand to; to adhere)
en,es,1,Abidjan,Abiyán,{prop} /?æb.??d??n/ (the largest city of Côte d'Ivoire)
en,es,1,Abigail,Abigáil,{prop} /?ab.?.?e?l/ (biblical wife of David)
en,es,1,abigeat,abigeato {m},{n} (theft of cattle)
en,es,1,ability,capacidad {f},{n} (a skill or competence)
en,es,1,ability,habilidad {f},{n} /??b?l.?.ti/ (quality or state of being able)
en,es,1,abime,"abismo {m}, sima {f}",{n} (a bottomless or unfathomed depth)
en,es,1,Abimelech,Abimelech,{prop} /??b?m.??l?k/ (name of Philistine kings)
en,es,1,ab initio,"ab initio, desde el principio",{adv} /?æb ??n??.i.o?/ (referring to the time from when a legal document comes into force)
en,es,1,abiogenesis,"autogénesis {f}, generación espontánea {f}",{n} /?e??bai.o??d??n.?.s?s/ (abiogenesis)
en,es,1,abiotic,abiótico,{adj} /?e?.ba???t.?k/ (Nonliving)
en,es,1,a bird in the hand is worth two in the bush,más vale pájaro en mano que ciento volando (A bird in one hand is worth more than a hundred in flight),{proverb} (small but certain advantage is preferable)
en,es,1,a bit,,{adv} (a little)
en,es,1,a bit much,demasiado,{n} (More than is reasonable)
en,es,1,abiu,caimito {m},{n} (tree)
en,es,1,abjad,"abyad {m}, abjad",{n} (writing system)
en,es,1,abject,abatido,{adj} /?æb.d???kt/ (Sunk to a low condition; down in spirit or hope)
en,es,1,abjectly,abyectamente,"{adv} /æb?d???kt.li/ (with great shame, desperately; in an abject fashion)"
en,es,1,abjure,abjurar,{v} /æb?d???/
en,es,1,Abkhaz,abjasio {m} {f},{n} /??b.k?z/ (person from Abkhazia)
en,es,1,Abkhaz,"abjaso {m}, abjasio {m}",{prop} (a Northwest Caucasian language spoken in Abkhazia)
en,es,1,Abkhazia,Abjasia {f},{prop} /?b?k?.zi.?/ (a region/country in the Caucasus)
en,es,1,Abkhazian,,{adj} /æb?k?.??n/ (Of or pertaining to Abkhazia)
en,es,1,Abkhazian,,{n} (Abkhaz)
en,es,1,Abkhazian,,{prop} (Abkhazian language)
en,es,1,ablation,ablación {f},{n} (amputation)
en,es,1,ablation,ablación {f},{n} /??ble?.?n?/ (removal)
en,es,1,ablative,ablativo {m},{n} /?æb.l?.t?v/ ((grammar) the ablative case)
en,es,1,ablative case,ablativo {m},"{n} (grammar case used to indicate movement away from something, removal, separation, source)"
en,es,1,ablaze,"ardiendo, en llamas",{adj} /??ble?z/ (on fire)
en,es,1,ablaze,"radiante, ardiente, resplandeciente",{adj} (glowing)
en,es,1,ablaze,en llamas,{adv} (on fire)
en,es,1,able,,{adj} /?e?.bl?/ (healthy)
en,es,1,able,competente,{adj} (legally qualified)
en,es,1,able,capaz,{adj} (permitted to)
en,es,1,able,"diestro, hábil, capaz",{adj} (skillful)
en,es,1,-able,"-able, -ible",{suffix}
en,es,1,-able,"-able, -ible",{suffix} /?.bl?/ (able to be)
en,es,1,able,,{v} (enable)
en,es,1,able,,{v} (vouch for)
en,es,1,ablution,ablución {f},{n}
en,es,1,ablution,ablución {f},{n} /??blu.?n?/ (the act of washing or cleansing)
en,es,1,ably,"capaz, hábilmente",{adv} /?e?.bli/ (with great ability)
en,es,1,abnegate,abnegar,{v} /?æb.n?.?e?t/ (to deny oneself something)
en,es,1,abnegate,rechazar,"{v} (to reject, to deny)"
en,es,1,abnegation,abnegación {f},{n} /?æb.n?????.?n?/ (denial; renunciation)
en,es,1,abnormal,anormal,{adj} /?æb?n??.ml?/ (not conforming to rule or system)
en,es,1,abnormal,anormal,{adj} (of or pertaining to behaviour that deviates from norms)
en,es,1,abnormality,anormalidad {f},{n} /?æb?n???mæl.?t.i/ (state of being abnormal)
en,es,1,abnormally,anormalmente,{adv} /æb?n??.m?.li/ (In an abnormal manner)
en,es,1,aboard,a bordo,{adv} /??b?rd/ (on board)
en,es,1,aboard,a bordo de,{prep} (on board of)
en,es,1,abode,"morada {f}, residencia {f}, vivienda {f}",{n} /??b??d/ (slightly dated: residence)
en,es,1,abolish,"abolir, suprimir, abrogar, quitar",{v} /??b?l.??/ (to do away with)
en,es,1,abolish,destrozar,{v} (to destroy)
en,es,1,abolishment,abolición {f},{n} /??bal.??.m?nt/ (The act of abolishing)
en,es,1,abolition,abolición {f},{n} /?æb.??l??.n?/ (act of abolishing)
en,es,1,A-bomb,bomba atómica {f},{n} (atomic bomb)
en,es,1,abominable,"abominable, aborrecible",{adj} /??b?m.?.n?.bl?/ (hateful; detestable; loathsome)
en,es,1,abominable snowman,abominable hombre de las nieves {m},{n} /??b?m.?.n?.bl? ?sno?.mæn/ (manlike or apelike animal said to exist in the Himalayas)
en,es,1,abominably,abominablemente,{adv} /??b?m.?.n?.bli/ (in an abominable manner)
en,es,1,abominate,"abominar, detestar","{v} /??b?m.??n??t/ (to feel disgust towards, to hate in the highest degree)"
en,es,1,abomination,"abominación {f}, maldad {f}",{n} /??b?m.??ne?.?n?/ (something abominable)
en,es,1,aboriginal,"aborigen, indígena",{adj} /?æb.????d??.n?.l?/ (original; indigenous)
en,es,1,Aboriginal,"aborigen, aboriginal",{n} /?æb.????d??.n?.l?/ (original inhabitant of Australia)
en,es,1,Aboriginal,aborigen,{n} (original inhabitant of any land)
en,es,1,aborigine,"aborigen {m} {f}, indígena {m} {f}",{n} /?æb.????d?.?.ni/ (aboriginal inhabitant of a country)
en,es,1,abort,"aborto, {m}",{n} /??b??t/ (A miscarriage)
en,es,1,abort,abortar,{v} (to miscarry)
en,es,1,aborted,abortado,{adj}
en,es,1,abortifacient,abortivo,{adj} /??b??.t??fe?.?n?t/ (producing miscarriage)
en,es,1,abortifacient,abortivo {m},{n} (agent that causes premature delivery)
en,es,1,abortion,aborto {m},{n} (act of inducing abortion)
en,es,1,abortion,"aborto {m}, aborto involuntario",{n} /??b??.?n?/ (miscarriage)
en,es,1,abortion,"aborto {m}, aborto inducido",{n} (induced abortion)
en,es,1,abortion,"aborto {m}, engendro {m}",{n} (something ugly)
en,es,1,abortion,aborto {m},"{n} (the act of aborting a project, etc)"
en,es,1,abortional,abortivo,{adj} /??b??.?n?.l?/ (pertaining to abortion)
en,es,1,abortive,"fracasado, frustrado, malogrado",{adj} /??b??.t?v/ (coming to naught; fruitless)
en,es,1,abortive,abortivo,{n}
en,es,1,abound,"abundar, ser abundante",{v} /??ba?nd/ (to be plentiful)
en,es,1,abound,"abundar, ser abundante",{v} (to be copiously supplied)
en,es,1,about,alrededor,{adv} (here and there)
en,es,1,about,alrededor,{adv} (in circuit)
en,es,1,about,alrededor,{adv} (nearly)
en,es,1,about,alrededor,{adv} (on all sides)
en,es,1,about,"sobre, acerca de, de",{prep} (concerning)
en,es,1,about,alrededor de,{prep} /??ba?t/ (around)
en,es,1,about,"sobre, acerca de",{prep} (in concern with)
en,es,1,about,cerca de,{prep} (in the immediate neighborhood of)
en,es,1,about,cerca de,{prep} (near)
en,es,1,about,a punto de,{prep} (on the point or verge of)
en,es,1,about,encima de,{prep} (over or upon different parts of)
en,es,1,about time,"es hora, al fin",{adv} (close to the right time)
en,es,1,about time,ya era hora,{adv} (far past the desired time)
en,es,1,about to,a punto de,{phrase} (indicating imminence)
en,es,1,above,arriba,{adv} (earlier in order)
en,es,1,above,arriba,{adv} (in a higher place)
en,es,1,above,"arriba, sobre, encima",{prep} /??b?v/ (in or to a higher place)
en,es,1,above,sobre,{prep} (more)
en,es,1,above all,sobre todo,{adv} (of prime importance)
en,es,1,aboveboard,"legítimo, sincero",{adj}
en,es,1,above measure,,{prep phrase} (beyond measure)
en,es,1,above the curve,adelantado de su época {m},{prep phrase}
en,es,1,above the law,por encima de la ley,{prep phrase} (idiomatic)
en,es,1,abrade,"escoriar, raspar",{v} /??b?e?d/ ((transitive) to rub or wear off; to waste or wear away by friction)
en,es,1,Abraham,"Abraham, Abrahán",{prop} /?e?.b???hæm/ (prophet in the Old Testament)
en,es,1,Abraham,"Abraham, Abrahán",{prop} (male given name)
en,es,1,Abram,Abram,{prop} /?e?.b??m/ (Old Testament patriarch)
en,es,1,abrasion,abrasión {f},{n}
en,es,1,abrasion,erosión {f},{n} (geology: effect of mechanical erosion of rock)
en,es,1,abrasion,"rasguño {m}, raspadura {f}",{n} (medicine: superficial wound)
en,es,1,abrasive,abrasivo,{adj} /??b?e?.s?v/ (producing abrasion; rough)
en,es,1,abrasive,"brusco, irritante",{adj} (rough and coarse in manner or disposition)
en,es,1,abreast,al corriente,{adv} /??b??st/ (informed)
en,es,1,abreast,de lado a lado,{adv} (side by side)
en,es,1,abridge,"abreviar, condensar, compendiar",{v} /??br?d??/ (to make shorter)
en,es,1,abridge,privar,{v} (to deprive)
en,es,1,abridge,"abreviar, resumir",{v} (to shorten or contract by using fewer words)
en,es,1,abridged,abreviado,"{adj} (cut or shortened, especially of a literary work)"
en,es,1,abridgment,"abreviación, compendio {m}",{n} /??b??d??.mn?t/
en,es,1,abroad,"por todas partes, en todas direciones",{adv} /??b??d/ (at large; widely; broadly; over a wide space)
en,es,1,abroad,"en el extranjero, en el exterior",{adv} (in foreign countries)
en,es,1,abroad,al exterior,{adv} (without a certain confine; outside the house)
en,es,1,abrogate,"abrogar, derogar",{v} /?æb.?????t/ (to annul by an authoritative act)
en,es,1,abrupt,abrupto,{adj} (botany: truncated)
en,es,1,abrupt,"abrupto, brusco, cortante",{adj} (curt in manner)
en,es,1,abrupt,"abrupto, brusco",{adj} /??b??pt/ (extremely steep)
en,es,1,abrupt,"brusco, abrupto",{adj} (having sudden transitions from one state to next)
en,es,1,abrupt,"repentino, súbito",{adj} (without notice)
en,es,1,abruptly,abruptamente,{adv} /??b??p.li/ (in an abrupt manner)
en,es,1,abruptly,precipitadamente,{adv} (precipitously)
en,es,1,Absalom,Absalón,{prop} /?æb.s?.l?m/ (Biblical character)
en,es,1,Absalom,Absalón,{prop} (male given name)
en,es,1,abscess,"absceso {m}, flemón {m} (gums)",{n} /?æb?s?s/ (cavity filled with pus)
en,es,1,abscissa,abscisa {f},{n} (first of two coordinates)
en,es,1,abscission,abscisión {f},{n} /æb?s?.?n?/ (act of cutting off)
en,es,1,abscond,"fugarse, evadirse",{v} /æb?sk?nd/ (to depart secretly)
en,es,1,abscond,"huir, fugarse",{v} (to hide (something))
en,es,1,absence,ausencia {f},{n} /?æb.sn?s/ (state of being absent)
en,es,1,absence,ausencia {f},{n} (inattention to things present)
en,es,1,absence,"ausencia {f}, falta {f}",{n} (want; lack; destitution; withdrawal)
en,es,1,absent,ausente,{adj} /?æb.sn?t/ (being away from a place)
en,es,1,absent,"ausente, distraído",{adj} (inattentive)
en,es,1,absent,ausente,{adj} (not existing)
en,es,1,absent,ausentarse,{v} /æb?s?nt/ (to withhold from being present)
en,es,1,absentee,ausente {m} {f},{n} /?æb.sn??ti/ (A person who is absent)
en,es,1,absent-minded,distraído,{adj} /?æb.sn?t?ma?n.d?d/ (absent in mind)
en,es,1,absinthe,"ajenjo {m}, absintio {m}",{n} /?æb.s?n?/ (liquor)
en,es,1,absinthe,ajenjo {m},{n}
en,es,1,absinthin,absintina {f},{n} /?æb?s?n.??n/ (principle compound found in wormwood)
en,es,1,absolute,absoluto,{adj} /?æb.s??lut/ (loosed from any limitation or condition)
en,es,1,absolute,"completo, pleno",{adj} (complete in itself)
en,es,1,absolutely,"totalmente, absolutamente",{adv} /?æb.s??lut.li/ (in an absolute manner)
en,es,1,absolute monarchy,monarquía absoluta {f},{n} (rule)
en,es,1,absolute pitch,,{n} /?æb.s??lut p?t??/ (ability to identify and reproduce a tone)
en,es,1,absolute zero,cero absoluto {m},{n} /?æb.s??lut ?zi.?o?/ (coldest possible temperature)
en,es,1,absolution,absolución {f},"{n} /?æb.s??lu.?n?/ (absolving or setting free from guilt, sin or penalty; forgiveness of an offense)"
en,es,1,absolutist,absolutista,{adj} /?æb.s??lu.t?st/ (of or pertaining to absolutism)
en,es,1,absolutive case,caso absolutivo {m},{n} (case used to indicate the patient or experiencer of a verb’s action)
en,es,1,absolve,"absolver, eximir, dispensar, exculpar, exonerar",{v}
en,es,1,absolve,"absolver, exculpar",{v} /æb?z?lv/ (set free)
en,es,1,absolve,absolver,{v} (pronounce free or give absolution)
en,es,1,absorb,absorber,{v}
en,es,1,absorb,absorber,{v} /æb?s?rb/ (to suck up or drink in )
en,es,1,absorbed,"absorto, ensimismado",{adj} /æb?s??bd/ (fully occupied with one's thoughts; engrossed)
en,es,1,absorbency,absorbencia {f},{n} /æb.s??.bn?.si/ (absorbency)
en,es,1,absorbent,absorbente,{adj} /æb?s?r.bn?t/ (absorbing)
en,es,1,absorbent,absorbente {m},{n} (anything which absorbs)
en,es,1,absorbing,absorbente,{adj} /æb?z?r.b??/ (engrossing)
en,es,1,absorption,absorción {f},{n} /æb?s??p.?n?/ (act or process of absorbing or sucking in anything)
en,es,1,absorption,concentración {f},{n} (entire occupation of the mind)
en,es,1,abstain,abstenerse,{v} /?b?ste?n/ (refrain from)
en,es,1,abstain,retener,"{v} (hinder, withhold)"
en,es,1,abstain,abstenerse,{v} (refrain from voting)
en,es,1,abstainer,abstemio {m},{n} /æb?ste?.n?/ (one who abstains)
en,es,1,abstemious,"sobrio, abstemio",{adj} /æb?sti.mi.?s/ (abstaining from wine)
en,es,1,abstemious,abstemio,"{adj} (marked by, or spent in, abstinence)"
en,es,1,abstemious,sobrio {m},{adj} (sparing in diet)
en,es,1,abstemious,abstemio,{adj} (sparingly used; used with temperance or moderation)
en,es,1,abstention,abstención {f},{n} /æb?st?n.?n?/ (the act of abstaining)
en,es,1,abstergent,abstergente,{n} /æb?st?.d??n?t/ (a substance used in cleansing)
en,es,1,abstersion,abstersión {f},{n} /æb?st?.?n?/ (the act of cleaning)
en,es,1,abstinence,"vigilia {f}, abstinencia {f}",{n} /?æb.st?.nn?s/ (the act or practice of abstaining)
en,es,1,abstinence,abstinencia del alcohol,"{n} (specifically, abstinence from alcohol)"
en,es,1,abstinence,vigilia {f},{n} (the practice of self-denial)
en,es,1,abstinent,abstinente,{adj} /?æb.st?.nn?t/ (refraining from indulgence)
en,es,1,abstract,abstracto,{adj} /æb?strækt/
en,es,1,abstract,resumen {m},{n} /?æb?strækt/ (an abrigement or summary)
en,es,1,abstract,extracto {m},{n} (an extract of a vegetable substance)
en,es,1,abstract,"abstraer, extraer",{v}
en,es,1,abstract,abstraer,{v} /?æb.strækt/ (to separate; to remove; to take away)
en,es,1,abstraction,abstracción {f},{n} /æb?st?æk.?n?/ (act of abstracting)
en,es,1,abstractionism,abstraccionismo {m},{n} /æb?st?æk.?n???z.m?/ (abstract art)
en,es,1,abstractionist,abstraccionista {m} {f},{n} /æb?st?æk.??n.?st/ (someone who paints or creates abstract art)
en,es,1,abstract noun,sustantivo abstracto {m},{n} /?æb?strækt na?n/ (a noun that denotes an abstract concept)
en,es,1,abstract of title,resumen de título {m},{n} /?ta?.tl?/ (epitome of the evidences of ownership)
en,es,1,abstruse,abstruso {m},{adj} /æb?strus/ (difficult to comprehend)
en,es,1,absurd,absurdo,{adj} /æb?s?d/ (contrary to reason or propriety)
en,es,1,absurdity,absurdo {m},{n} /æb?s?d.?.ti/ (the quality of being absurd)
en,es,1,Abu Dhabi,Abu Dhabi,{prop} /??.bu ?d?.bi/ (capital of UAE)
en,es,1,abundance,abundancia,{n} /??b?n.dn?s/ (ample sufficiency)
en,es,1,abundant,"abundante, copioso, cuantioso",{adj} /??b?n.dn?t/ (fully sufficient; plentiful)
en,es,1,abundantly,abundantemente,{adv} /??b?n.dn?t.li/ (in an abundant manner)
en,es,1,abundant number,número abundante {m},{n} /??b?n.dn?t ?n?m.b?/ (abundant number)
en,es,1,Abundius,Abundio {m},{prop} (male given name)
en,es,1,abuse,abuso {m},{n}
en,es,1,abuse,abuso {m},{n} /??bjus/ (improper usage)
en,es,1,abuse,abuso {m},{n} (physical maltreatment)
en,es,1,abuse,abuso sexual {m},{n} (sexual assault)
en,es,1,abuse,abusar,{v} /??bjuz/
en,es,1,abuse of discretion,abuso de discreción {m},{n}
en,es,1,abuser,abusador {m},{n} /??bju.z?/ (one who abuses)
en,es,1,abusio,,{n} (catachresis)
en,es,1,abusive,abusivo,{adj} /??bju.s?v/ (practicing abuse)
en,es,1,abut,bordear,{v} /??b?t/ (to border on)
en,es,1,abutment,estribo {m},{n} /??b?t.mn?t/ (state of abutting)
en,es,1,abysm,abismo {m},{n} /??b?z.m?/ (abyss)
en,es,1,abysmal,"abismal, insondable","{adj} /??b?z.ml?/ (pertaining to, or resembling an abyss; bottomless; unending; profound)"
en,es,1,abysmal,"atroz, desastroso",{adj} (extremely bad)
en,es,1,abyss,"abismo {m}, sima {f}",{n} /??b?s/ (a bottomless or unfathomed depth)
en,es,1,abyssal,abisal,{adj} /??b?s.l?/ (belonging to the ocean depths)
en,es,1,Abyssinia,Abisinia {f},{prop} /?æb.??s?n.i.?/ (historical name of Ethiopia)
en,es,1,Abyssinian,abisinio,{adj} /?æb.??s?n.i.?n/ (of or pertaining to Abyssinia)
en,es,1,Abyssinian,"abisinio {m}, abisinia {f}",{n} (a native of Abyssinia)
en,es,1,abzyme,abzima {f},{n} (antibody with catalytic properties)
en,es,1,AC,"CA, corriente alterna",{initialism} (alternating current)
en,es,1,acacia,acacia {f},{n} /??ke?.??/ (shrub or tree)
en,es,1,academic,académico,{adj} /?æk.??d?m.?k/ (belonging to an academy or other higher institution of learning)
en,es,1,academic,teórico,{adj} (having no practical importance)
en,es,1,academic,"académico {m}, escolar {m}",{n}
en,es,1,academic,"académico {m}, escolar {m}","{n} (member of an academy, college, or university)"
en,es,1,academically,académicamente,{adv} /?æk.??d?m.?k.?.li/ (in an academic style or way)
en,es,1,academician,académico {m},{n}
en,es,1,academician,"académico {m}, académica {f}, academista {m} {f}",{n} /?æk.?.d??m?.?n?/ (member of an academy)
en,es,1,academy,academia {f},{n}
en,es,1,academy,academia {f},{n} /??kæd.?.mi/ (learned society)
en,es,1,academy,cantera {f},{n} (specialized school)
en,es,1,Acadian,acadio,{adj} /??ke?.di.n?/ (Of or pertaining to Acadia)
en,es,1,acalycine,acalicino,{adj} /?ei?ke?.l?.sa?n/ (without a calyx)
en,es,1,acanthaceous,acantáceo,{adj} /?æk.n???e?.??s/ (armed with prickles)
en,es,1,acanthaceous,acantáceo,{adj} (pertaining to the acanthus family)
en,es,1,acanthocyte,acantocito {m},{n} /\??kæn.?o??sa?t/ (spiny cell)
en,es,1,acanthus,acanto {m},{n} /??kæn.??s/ (plant)
en,es,1,acanthus,acanto {m},{n} (ornament)
en,es,1,a cappella,a cappella,{adv} /?? k?.?p?l.?/ (performed by a choir with no instrumental accompaniment)
en,es,1,acarbose,acarbosa {f},{n} /e? 'k?r bo?s/ (antidiabetic drug)
en,es,1,acarpous,acarpo,{adj} /e?.?k??.p?s/ (not producing fruit)
en,es,1,acaulescent,acaule,{adj} /?æk.?.?l?s.?nt/ (having no stem)
